OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
1738,Lubricator,MADE OF BRASS WITH 4 WOODEN 2-INCH DIAMETER CONTROL KNOBS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0483.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0483.001.aa.cs.thumb.png,2157,5013,Manufacturer,42.331426999999998,-83.045753800000000,76,R,The United States
1739,"Valve, safety",BRASS SAFETY VALVE WITH STEEL ROD PART,http://source.techno-science.ca/artifacts-artefacts/images/1968.0485.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0485.001.aa.cs.thumb.png,2158,5015,Manufacturer,43.653225999999997,-79.383184299999996,76,R,Canada
1740,"Counter, revolution",,http://source.techno-science.ca/artifacts-artefacts/images/1968.0488.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0488.001.aa.cs.thumb.png,2159,5018,Manufacturer,43.653225999999997,-79.383184299999996,76,R,Canada
1741,Mortising machine,,http://source.techno-science.ca/artifacts-artefacts/images/1968.0489.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0489.001.aa.cs.thumb.png,2160,5019,Manufacturer,40.735657000000003,-74.172366699999998,76,R,The United States
1742,Milling machine control,ALL METAL CABINETRY CONSTRUCTION WITH PLASTIC DIAL AND LIGHT COVERS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0491.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0491.001.aa.cs.thumb.png,2161,5020,Manufacturer,43.161029999999997,-77.610921899999994,76,R,The United States
1743,"Gauge, water pressure",,http://source.techno-science.ca/artifacts-artefacts/images/1968.0494.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0494.001.aa.cs.thumb.png,2162,5024,Manufacturer,52.355517700000000,-1.174319700000000,52,R,Europe
1744,Camera,ALL METAL CONSTRUCTION/ THE LEATHER COVERING HAS BEEN REMOVED AT SOME POINT PRIOR TO DONATION TO THE MUSEUM,http://source.techno-science.ca/artifacts-artefacts/images/1968.0496.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0496.001.aa.cs.thumb.png,2163,5026,Manufacturer,48.856614000000000,2.352221900000000,76,R,Europe
1745,"Receiver, radio",,http://source.techno-science.ca/artifacts-artefacts/images/1968.0497.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0497.001.aa.cs.thumb.png,2164,5028,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
1746,"Key, telegraph",STEEL OPERATING LEVER/ POLISHED BRASS SOLID BASE AND ADJUSTMENT KNOBS/ BAKELITE OPERATING KNOB,http://source.techno-science.ca/artifacts-artefacts/images/1968.0502.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0502.001.aa.cs.thumb.png,2165,5033,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1747,Switch,WOOD BASE/ METAL - BRASS ? CONTACTS AND WORKING PARTS/ BAKELITE HANDLE,http://source.techno-science.ca/artifacts-artefacts/images/1968.0504.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0504.001.aa.cs.thumb.png,2166,5035,Manufacturer,51.507350899999999,-0.127758300000000,76,R,Europe
1748,Capacitor,ALMINUM FOIL/ WAX PAPER/ SHEET METAL CONTAINER/ TAR FILLED/ INSULATED COPPER LEADS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0505.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0505.001.aa.cs.thumb.png,2167,5036,Manufacturer,41.878113599999999,-87.629798199999996,76,R,The United States
1749,Transformer,ALL METAL CONSTRUCTION WITH CLOTH COVERED WIRES,http://source.techno-science.ca/artifacts-artefacts/images/1968.0506.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0506.001.aa.cs.thumb.png,2168,5037,Manufacturer,42.407210700000000,-71.382437400000001,76,R,The United States
1750,"Receiver, radio",ALL WOOD CABINETRY USING A VARIETY OF VENEERS AND INLAYS/ METAL CHASSIS/ GLASS TUBES/ CLOTH COVERED WIRES,http://source.techno-science.ca/artifacts-artefacts/images/1968.0510.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0510.001.aa.cs.thumb.png,2169,5041,Manufacturer,45.501688899999998,-73.567256000000000,76,R,Canada
1751,Wave guide material,,http://source.techno-science.ca/artifacts-artefacts/images/1968.0512.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0512.001.aa.cs.thumb.png,2170,5043,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
1752,Synchroscope,ALL METAL CONSTRUCTION WITH PLASTIC KNOBS AND LEATHER HANDLES,http://source.techno-science.ca/artifacts-artefacts/images/1968.0515.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0515.001.aa.cs.thumb.png,2171,5086,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
1753,Propeller,ALUMINUM OUTER CASE/ METAL PTS/ PLYWOOD BASE/ RUBBER ELEC. CABLES COVER/ CLOTH WIRE COVER/ CLOTH TAPE/ PAPER PADDING,http://source.techno-science.ca/artifacts-artefacts/images/1968.0517.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0517.001.aa.cs.thumb.png,2173,5094,Manufacturer,39.758947800000001,-84.191606899999996,76,R,The United States
1754,Capacitor,,http://source.techno-science.ca/artifacts-artefacts/images/1968.0523.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0523.001.aa.cs.thumb.png,2174,5100,Manufacturer,41.878113599999999,-87.629798199999996,76,R,The United States
1755,Camera,ALUMINUM AND BRASS CONSTRUCTION WITH GLASS LENS ELEMENTS ETC.,http://source.techno-science.ca/artifacts-artefacts/images/1968.0525.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0525.001.aa.cs.thumb.png,2175,5102,Manufacturer,43.161029999999997,-77.610921899999994,76,R,The United States
1756,Flowmeter,METAL WITH GLASS TUBING,http://source.techno-science.ca/artifacts-artefacts/images/1968.0527.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0527.001.aa.cs.thumb.png,2176,5119,Manufacturer,33.520660800000002,-86.802489999999992,76,R,The United States
